0.0, 0.1, 0.0, SKS, 1, TW0001, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0002, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0003, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0004, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0005, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0006, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0007, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0008, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0009, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0010, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0011, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0012, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0013, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0014, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0015, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0016, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0017, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0018, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0019, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0020, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0021, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0022, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0023, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0024, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0025, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0026, ???, 0.7853981633974483
0.0, 0.1, 0.0, SKS, 1, TW0027, ???, 0.7853981633974483
